hex,binary,decimal,rom_value,ascii_value,rom_unicode_name,ascii_unicode_name
0xAF,1010_1111,175,ｯ,¯,HALFWIDTH KATAKANA LETTER SMALL TU,MACRON
0xB0,1011_0000,176,ｰ,°,HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK,DEGREE SIGN
0xB1,1011_0001,177,ｱ,±,HALFWIDTH KATAKANA LETTER A,PLUS-MINUS SIGN
0xB2,1011_0010,178,ｲ,²,HALFWIDTH KATAKANA LETTER I,SUPERSCRIPT TWO
0xB3,1011_0011,179,ｳ,³,HALFWIDTH KATAKANA LETTER U,SUPERSCRIPT THREE
0xB4,1011_0100,180,ｴ,´,HALFWIDTH KATAKANA LETTER E,ACUTE ACCENT
0xB5,1011_0101,181,ｵ,µ,HALFWIDTH KATAKANA LETTER O,MICRO SIGN
0xB6,1011_0110,182,ｶ,¶,HALFWIDTH KATAKANA LETTER KA,PILCROW SIGN
0xB7,1011_0111,183,ｷ,·,HALFWIDTH KATAKANA LETTER KI,MIDDLE DOT
0xB8,1011_1000,184,ｸ,¸,HALFWIDTH KATAKANA LETTER KU,CEDILLA
0xB9,1011_1001,185,ｹ,¹,HALFWIDTH KATAKANA LETTER KE,SUPERSCRIPT ONE
0xBA,1011_1010,186,ｺ,º,HALFWIDTH KATAKANA LETTER KO,MASCULINE ORDINAL INDICATOR
0xBB,1011_1011,187,ｻ,»,HALFWIDTH KATAKANA LETTER SA,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xBC,1011_1100,188,ｼ,¼,HALFWIDTH KATAKANA LETTER SI,VULGAR FRACTION ONE QUARTER
0xBD,1011_1101,189,ｽ,½,HALFWIDTH KATAKANA LETTER SU,VULGAR FRACTION ONE HALF
0xBE,1011_1110,190,ｾ,¾,HALFWIDTH KATAKANA LETTER SE,VULGAR FRACTION THREE QUARTERS
0xBF,1011_1111,191,ｿ,¿,HALFWIDTH KATAKANA LETTER SO,INVERTED QUESTION MARK
0xC0,1100_0000,192,ﾀ,À,HALFWIDTH KATAKANA LETTER TA,LATIN CAPITAL LETTER A WITH GRAVE
